"","S","I","R","t"
"589",119,170,210,12.48457774532
"590",119,169,211,12.5074354968049
"591",119,168,212,12.5244648437347
"592",119,167,213,12.5385599768026
"593",118,168,213,12.5451798906627
"594",118,167,214,12.5652209840616
"595",118,166,215,12.583929061299
"596",117,167,215,12.5859905946194
"597",117,166,216,12.5996822903943
"598",116,167,216,12.6117729188989
"599",115,168,216,12.6128696598562
"600",114,169,216,12.6129478838633
"601",114,168,217,12.6563017530011
"602",113,169,217,12.6564572287552
"603",112,170,217,12.6668786519707
"604",111,171,217,12.6765617177307
"605",110,172,217,12.6877586377192
"606",109,173,217,12.6957686252898
"607",108,174,217,12.7008327541544
"608",107,175,217,12.7102161571234
"609",106,176,217,12.7155562147358
"610",105,177,217,12.7233700061466
"611",105,176,218,12.7363135593074
"612",105,175,219,12.7543614123805
"613",104,176,219,12.7550396796184
"614",104,175,220,12.7851503053949
"615",103,176,220,12.7950608660674
"616",102,177,220,12.797873540234
"617",102,176,221,12.8119611801154
"618",102,175,222,12.8289073674488
"619",102,174,223,12.8545547808226
"620",101,175,223,12.8627049518385
"621",101,174,224,12.8762260786836
"622",100,175,224,12.8798254670276
"623",100,174,225,12.8980243321172
"624",99,175,225,12.900020747975
"625",99,174,226,12.9343124864457
"626",98,175,226,12.9405509524922
"627",97,176,226,12.947854866097
"628",96,177,226,12.9596015007449
"629",95,178,226,12.9709513297846
"630",94,179,226,12.9726339102876
"631",94,178,227,12.99020322943
"632",94,177,228,13.0402078687954
"633",93,178,228,13.044990373413
"634",93,177,229,13.0784316583758
"635",92,178,229,13.0831306017184
"636",91,179,229,13.0902242452784
"637",90,180,229,13.1010622450017
"638",89,181,229,13.1116501818345
"639",88,182,229,13.1233018493963
"640",88,181,230,13.1394406288031
"641",87,182,230,13.1403335126628
"642",87,181,231,13.1767867776088
"643",87,180,232,13.1941556818965
"644",87,179,233,13.2235398910275
"645",86,180,233,13.2277938446434
"646",85,181,233,13.2372355506559
"647",85,180,234,13.290428961229
"648",84,181,234,13.2957088244571
"649",84,180,235,13.3106169048725
"650",83,181,235,13.3147955910478
"651",83,180,236,13.3301374156214
"652",82,181,236,13.3388480072042
"653",81,182,236,13.3461834119769
"654",81,181,237,13.3924150577681
"655",81,180,238,13.4206905470341
"656",80,181,238,13.4259927205378
"657",80,180,239,13.4490494067066
"658",80,179,240,13.4680680412351
"659",80,178,241,13.486046655761
"660",79,179,241,13.4930087743417
"661",78,180,241,13.5007792490867
"662",77,181,241,13.5075440246708
"663",76,182,241,13.5165405688792
"664",76,181,242,13.5385932980552
"665",76,180,243,13.5598326035433
"666",76,179,244,13.5817501622537
"667",75,180,244,13.5839633357466
"668",74,181,244,13.5924162511913
"669",74,180,245,13.608564929593
"670",73,181,245,13.6100891249532
"671",72,182,245,13.619997750677
"672",72,181,246,13.6517323558627
"673",71,182,246,13.6561172749258
"674",70,183,246,13.6598408111478
"675",70,182,247,13.6869675923232
"676",70,181,248,13.7027632250993
"677",70,180,249,13.7222136434396
"678",70,179,250,13.7400598280189
"679",69,180,250,13.75116403348
"680",68,181,250,13.7531376020415
"681",68,180,251,13.7731710853964
"682",67,181,251,13.780899331016
"683",66,182,251,13.7903074403015
"684",65,183,251,13.8004521735824
"685",64,184,251,13.8082244067216
"686",63,185,251,13.8156667407174
"687",63,184,252,13.8314726646189
"688",62,185,252,13.8401600261132
"689",62,184,253,13.8688736065919
"690",61,185,253,13.8711636329037
"691",60,186,253,13.877575262235
"692",60,185,254,13.8984521732391
"693",59,186,254,13.9030108785821
"694",59,185,255,13.91633638818
"695",59,184,256,13.9375224197151
"696",59,183,257,14.0855412637399
"697",58,184,257,14.0911314544356
"698",57,185,257,14.0918425437067
"699",56,186,257,14.0923172071779
"700",56,185,258,14.1198320728484
"701",55,186,258,14.1201345835081
"702",55,185,259,14.136874588884
"703",55,184,260,14.2160147675177
"704",55,183,261,14.2341003763382
"705",55,182,262,14.2600224330978
"706",55,181,263,14.3173321014633
"707",55,180,264,14.3618005573477
"708",55,179,265,14.4038846704415
"709",55,178,266,14.5535085780213
"710",55,177,267,14.568724465918
"711",54,178,267,14.569945076837
"712",54,177,268,14.5849233435009
"713",54,176,269,14.5960762762488
"714",54,175,270,14.6192890300907
"715",54,174,271,14.645914759163
"716",54,173,272,14.7499249091973
"717",54,172,273,14.7728618639997
"718",54,171,274,14.7863052220195
"719",54,170,275,14.7992275421997
"720",54,169,276,14.8465462849543
"721",54,168,277,14.8560098888055
"722",54,167,278,14.879265358057
"723",53,168,278,14.884132589375
"724",52,169,278,14.8894896950534
"725",52,168,279,14.9893891414254
"726",52,167,280,15.0617773875463
"727",51,168,280,15.0646553156128
"728",51,167,281,15.0755602360057
"729",50,168,281,15.0789868749947
"730",50,167,282,15.0927512424727
"731",49,168,282,15.0969292315584
"732",49,167,283,15.1228093422741
"733",48,168,283,15.1233975373187
"734",48,167,284,15.1334225269106
"735",48,166,285,15.1523764414694
"736",48,165,286,15.2276066991325
"737",48,164,287,15.2931453007606
"738",48,163,288,15.3195622323174
"739",48,162,289,15.3250937773483
"740",47,163,289,15.3289886014388
"741",46,164,289,15.3310773298933
"742",45,165,289,15.3349629457125
"743",45,164,290,15.4699478173721
"744",45,163,291,15.480851794289
"745",45,162,292,15.5232193289655
"746",45,161,293,15.5464312019364
"747",45,160,294,15.5934787590477
"748",45,159,295,15.6141532130664
"749",45,158,296,15.6775520966385
"750",45,157,297,15.695921698929
"751",45,156,298,15.7172593949932
"752",45,155,299,15.74651251164
"753",45,154,300,15.7695293239298
"754",44,155,300,15.7738521292768
"755",44,154,301,15.810597904095
"756",43,155,301,15.8174103468876
"757",42,156,301,15.8194872965233
"758",41,157,301,15.8272509328782
"759",41,156,302,15.8578312568276
"760",41,155,303,15.8856094125895
"761",40,156,303,15.8908218247142
"762",40,155,304,15.9318708045074
"763",39,156,304,15.9441121810313
"764",38,157,304,15.9542502010538
"765",37,158,304,15.9640147884276
"766",37,157,305,15.9793806131248
"767",37,156,306,16.0489502030133
"768",36,157,306,16.053553004746
"769",36,156,307,16.1043075175612
"770",35,157,307,16.1044601395817
"771",34,158,307,16.1068387379529
"772",34,157,308,16.1314697954478
"773",33,158,308,16.1325027814457
"774",32,159,308,16.1380999368702
"775",31,160,308,16.1435268474715
"776",31,159,309,16.1823618701542
"777",31,158,310,16.2039379842236
"778",31,157,311,16.2415446926234
"779",31,156,312,16.2850144054028
"780",31,155,313,16.3086354571759
"781",31,154,314,16.4542074191701
"782",31,153,315,16.4707182288905
"783",31,152,316,16.5127056376526
"784",31,151,317,16.5288591264416
"785",31,150,318,16.5473646024471
"786",30,151,318,16.5549467074275
"787",30,150,319,16.580299797157
"788",30,149,320,16.5991704966798
"789",29,150,320,16.6033680988201
"790",29,149,321,16.6107723357601
"791",29,148,322,16.6757156039058
"792",28,149,322,16.6787441775292
"793",28,148,323,16.7291927281099
"794",28,147,324,16.7528200417741
"795",27,148,324,16.7561117855981
"796",27,147,325,16.7901867108732
"797",27,146,326,16.8142694223846
"798",27,145,327,16.8379227005177
"799",26,146,327,16.841912667092
"800",25,147,327,16.8427770679969
"801",25,146,328,16.9170309514929
"802",25,145,329,16.932804511921
"803",25,144,330,17.0914407665385
"804",25,143,331,17.0973053083155
"805",25,142,332,17.118717128751
"806",25,141,333,17.1789696938261
"807",25,140,334,17.3010692197781
"808",25,139,335,17.3282735262802
"809",25,138,336,17.3806970705148
"810",25,137,337,17.3893268598831
"811",25,136,338,17.4023992668443
"812",25,135,339,17.4312991578681
"813",25,134,340,17.4483329331012
"814",25,133,341,17.4563114408234
"815",25,132,342,17.485039115938
"816",25,131,343,17.5111814858416
"817",25,130,344,17.5214054231642
"818",25,129,345,17.5575953307219
"819",25,128,346,17.5801265032613
"820",25,127,347,17.6131155392554
"821",25,126,348,17.6961795909612
"822",25,125,349,17.8313996438289
"823",25,124,350,17.8963465729505
"824",25,123,351,17.9044797295914
